INDEX;UUID;LINE;NAME;LATITUDE;LONGITUDE
1260;56a7621a-e8bb-4851-85cf-d786709ab583;M5;Saint-Marcel;48,8384273;2,360967168
1270;9882a61c-1ee8-44aa-a880-89660363666d;M5;Campo-Formio;48,83549536;2,358823489
1280;4ab9c0b8-bda1-434e-96fa-9897fd05fc11;M5;Place d'Italie;48,83097267;2,355580274
1290;1f2da068-67ea-4aa0-bcae-9c95dcc28948;M6;Charles de Gaulle - Etoile;48,87474865;2,295560256
1300;c437e277-9249-4a57-9f53-b499650885ba;M6;Kléber;48,87164977;2,29352429
1310;d7123303-29d4-407d-b36b-c117bf8b2324;M6;Boissière;48,86698311;2,290058835
1320;031acf11-25b2-4a06-98b4-5cfe7347daf1;M6;Trocadéro;48,86361094;2,287580163
1330;93e53aee-eb29-4366-98b1-0dd1447daec5;M6;Passy;48,85744869;2,285812444
1340;76e2aa2c-b01f-4e0f-86c3-d08605088205;M6;Bir-Hakheim;48,85394261;2,289334533
1350;f13c272f-3d8a-4a7b-842f-0d7415410f97;M6;Dupleix;48,85043455;2,29361244
1360;43cb2e8d-a03c-4539-975d-48113a7dc1fb;M6;La Motte-Piquet - Grenelle;48,84874167;2,298930912
1370;e359031e-93f3-4121-901c-1efcf919db2f;M6;Cambronne;48,84750708;2,302968299
1380;d1c36fe0-7027-46af-8680-d877c6426ee2;M6;Sévres - Lecourbe;48,84562697;2,30953149
1390;eaadd210-e039-48df-86fa-9f8d61a603d9;M6;Pasteur;48,84267682;2,312812773
1400;f4c3281c-5625-4317-8fac-0a7d2b566fc2;M6;Montparnasse - Bienvenüe;48,84210221;2,321278563
1410;ba55b1b7-623b-432d-a474-40f5a6fc0fad;M6;Edgar Quinet;48,84066323;2,326384611
1420;da728721-895f-43c5-a9e5-91cac3090415;M6;Raspail;48,83896428;2,330754192
1430;3def76a3-c0d3-4d2b-999f-c28d4adb2e8f;M6;Denfert - Rochereau;48,83429298;2,33285231
1440;ed544ed8-535a-4ce1-9430-9546d68747df;M6;Saint-Jacques;48,83290082;2,337135191
1450;f7564950-e922-406b-bc65-e5f80bad1576;M6;Glacière;48,83112955;2,343511658
1460;c3ff3def-9e04-4b96-897b-b31320fa9560;M6;Corvisart;48,82979051;2,350414872
1470;60b3084a-256d-4462-965b-d4300723a1e5;M6;Place d'Italie;48,83092724;2,356121939
1480;7aa3d05a-7558-4796-903e-5309201bd540;M6;Nationale;48,83321672;2,3628564
1490;f7be018c-07c3-4d8f-b500-aee8a6758038;M6;Chevaleret;48,83494772;2,368126329
1500;30e17dd1-b336-4edc-be27-2792b8d2710d;M6;Quai de la Gare;48,83704512;2,372825722
1510;cc8704fb-c908-463c-8159-6e2379666108;M6;Bercy;48,84038875;2,379911271
1520;758e7841-1a49-4e10-9c11-4cb6789edacd;M6;Dugommier;48,83904114;2,389620011
1530;33efcd47-ecc6-4752-9e72-cefb278dc89e;M6;Dausmenil;48,83954965;2,395703289
1540;27214370-e4c5-46ac-bb59-9d8da592c88f;M6;Bel-Air;48,84133825;2,400918538
1550;4acb6b43-e63b-41da-bc4c-7a8609cf16e5;M6;Picpus;48,84506158;2,40128902
1560;ae68412a-5504-4d74-8d80-1e7e95a44d9f;M6;Nation;48,84737488;2,395461995
1570;b7466cd2-1062-4ef1-a8bc-c01b8a106d1f;M7;La Courneuve - 8 Mai 1945;48,92078597;2,410598614
1580;f011b367-77b7-4c03-b63a-c8ae5c6fafa3;M7;Fort d'Aubervilliers;48,91494976;2,404409087
1590;cf95fa18-973e-40c0-a616-c9d59558b22f;M7;Aubervilliers - Pantin - Quatre Chemins;48,90375993;2,39228706
1600;60e334fd-e399-48b3-a2da-d95306aa6bde;M7;Porte de la Villette;48,89738989;2,385508388
1610;2ef6381b-4da7-499d-a30d-593505692b2f;M7;Corentin Cariou;48,89483647;2,382522343
1620;36dfacce-996a-41cf-86fa-11783b821d05;M7;Crimée;48,89078897;2,377315756
